"shop_id","shop_address","country","total_sales_count","total_sales_amount"
1,SHOP0001 Moore Mills,Germany,12505,969382.99
2,SHOP0002 Nicole Station,Germany,25090,1712119.56
3,SHOP0003 Christy Creek,Germany,31611,1823560.52
4,SHOP0004 Candace Isle,Germany,12626,559322.36
5,SHOP0005 Lopez Groves,Germany,25002,1238843.99
6,SHOP0006 Allen View,Germany,18976,2014441.37
7,SHOP0007 Jones Canyon,Germany,12661,1370948.10
8,SHOP0008 Rachael Mountain,Germany,31426,1457626.39
9,SHOP0009 Hart Locks,Germany,25203,1183690.60
10,SHOP0010 Fernandez Inlet,Germany,12559,704997.45
11,SHOP0011 Stacy Alley,Germany,56515,2969324.16
12,SHOP0012 Horn Points,Germany,50266,6992790.44
13,SHOP0013 Arellano Ramp,Germany,18948,1252601.69
14,SHOP0014 Barnes Union,Germany,25076,1393430.40
15,SHOP0015 Hurst Ferry,Germany,18887,1452341.69
16,SHOP0016 Michael Ford,Germany,43942,2236830.79
17,SHOP0017 Katherine Trace,Germany,31460,2214583.29
18,SHOP0018 Anthony Radial,Germany,25007,777036.78
19,SHOP0019 Gill Glen,Germany,25144,2471971.18
20,SHOP0020 Martinez Trail,Germany,25331,1909245.72
21,SHOP0021 Virginia Tunnel,Germany,18906,898035.00
22,SHOP0022 Baker Via,Germany,37745,3410606.26
23,SHOP0023 Rush Manors,Germany,62875,6029818.71
24,SHOP0024 Gregory Burg,Germany,31538,3205144.34
25,SHOP0025 Devon Lodge,Germany,24927,1846696.63
26,SHOP0026 Murray Path,Germany,44446,4583231.57
27,SHOP0027 Karen Falls,Germany,43999,3729151.08
28,SHOP0028 Lisa Keys,Germany,18771,766545.92
29,SHOP0029 Shelby Skyway,Germany,25144,1078050.51
30,SHOP0030 Allen Curve,Germany,25073,1898922.31
31,SHOP0031 Reilly Neck,Germany,25324,1265736.29
32,SHOP0032 Stephanie Meadow,Germany,50220,2240568.89
33,SHOP0033 Anthony Village,Germany,37703,2935731.16
34,SHOP0034 Pamela Stream,France,18635,1246822.67
35,SHOP0035 William Roads,France,18691,1240733.71
36,SHOP0036 Joseph Walk,France,24806,2191637.59
37,SHOP0037 Tyler Union,France,18917,800468.17
38,SHOP0038 Thomas Crest,France,31425,1632063.67
39,SHOP0039 Jones Manors,France,18908,1800008.47
40,SHOP0040 Hernandez Trace,France,12721,853242.29
41,SHOP0041 Thomas Streets,France,38238,2609650.94
42,SHOP0042 Michele Plains,France,19146,1683951.07
43,SHOP0043 Samuel Hills,France,31558,2341045.03
44,SHOP0044 Matthew Shore,France,18650,1303287.77
45,SHOP0045 Roberson Passage,France,44173,4623384.75
46,SHOP0046 Eric Villages,France,37768,2413398.20
47,SHOP0047 Dunn Squares,France,31405,663918.93
48,SHOP0048 Myers Springs,France,12577,655151.60
49,SHOP0049 Victor Hill,France,44245,2881029.54
50,SHOP0050 Jordan Spurs,France,12685,447059.92
51,SHOP0051 Webster Run,Italy,31328,3383665.32
52,SHOP0052 Frank Ramp,Italy,18603,1264628.05
53,SHOP0053 Jennings Garden,Italy,18964,1625924.77
54,SHOP0054 Allen Ford,Italy,12600,1190192.07
55,SHOP0055 Alexander Bridge,Italy,25025,2874874.04
56,SHOP0056 Cody Drives,Italy,43773,3663606.34
57,SHOP0057 Emily Way,Italy,31681,1601863.87
58,SHOP0058 Robert Mission,Italy,6190,258888.26
59,SHOP0059 Cline Groves,Italy,12640,1055164.71
60,SHOP0060 Myers Orchard,Italy,19086,1386782.41
61,SHOP0061 Daniel Groves,Italy,18706,771699.62
62,SHOP0062 Paula Mills,Spain,44186,1577717.68
63,SHOP0063 Daniels Fork,Spain,43886,2260774.45
64,SHOP0064 Kevin Burg,Spain,37584,2090537.88
65,SHOP0065 Jacqueline Crest,Spain,18695,848973.09
66,SHOP0066 Daniel Centers,Spain,44009,2151085.92
67,SHOP0067 Bush Tunnel,Spain,37537,1959259.26
68,SHOP0068 Montoya Island,Spain,31611,2968952.82
69,SHOP0069 Cooper Wells,Poland,18840,878394.35
70,SHOP0070 Moses Land,Poland,12507,1412161.43
71,SHOP0071 Candace Plaza,Poland,25223,1381393.89
72,SHOP0072 Kiara Gardens,Poland,37874,1993748.75
